Product_name,Product_url,brand,Sale_price,MRP,Discount_percentage,Number_of_ratings,Number_of_reviews,Type_of_washing,UPC
LG 6.5 kg Fully Automatic Front Load with In-built Heater White, https://www.flipkart.com/lg-6-5-kg-fully-automatic-front-load-in-built-heater-white/p/itmd6d64e3dc9284?pid=WMNFTPBYMQHUZJH3,LG,28590,35907,20,12,2,Fully Automatic Front Load,WMNFTPBYMQHUZJH3
"Whirlpool 7.5 kg 5 Star, Hard Water wash Fully Automatic Top Load Grey", https://www.flipkart.com/whirlpool-7-5-kg-5-star-hard-water-wash-fully-automatic-top-load-grey/p/itmb49b34c9eb10d?pid=WMNFNAYP4RHJX5GN,Whirlpool,15990,18000,11,5709,563,Fully Automatic Top Load,WMNFNAYP4RHJX5GN
"Whirlpool 9.5 kg 5 Star, Hard Water wash Semi Automatic Top Load Purple, White", https://www.flipkart.com/whirlpool-9-5-kg-5-star-hard-water-wash-semi-automatic-top-load-purple-white/p/itmf7f89qruxbteg?pid=WMNEZHYQ3HSY4ARB,Whirlpool,15990,19450,17,7307,884,Semi Automatic Top Load,WMNEZHYQ3HSY4ARB
"Lloyd 7.5 kg Semi Automatic Top Load White, Maroon", https://www.flipkart.com/lloyd-7-5-kg-semi-automatic-top-load-white-maroon/p/itmfec4yz5tzwhzm?pid=WMNFEC4YCQUWQZGH,Lloyd,11000,14990,26,9,0,Semi Automatic Top Load,WMNFEC4YCQUWQZGH
Whirlpool 7.5 kg Fully Automatic Top Load Grey, https://www.flipkart.com/whirlpool-7-5-kg-fully-automatic-top-load-grey/p/itm510c5734058d2?pid=WMNFUYXAACPDDGBK,Whirlpool,17800,22200,19,35,1,Fully Automatic Top Load,WMNFUYXAACPDDGBK
LG 8 kg Fully Automatic Front Load Silver, https://www.flipkart.com/lg-8-kg-fully-automatic-front-load-silver/p/itm528ca7d5ec830?pid=WMNFKG3ZMAYQK8FH,LG,37990,44990,15,47,7,Fully Automatic Front Load,WMNFKG3ZMAYQK8FH
LG 8 kg 5 Star Fully Automatic Front Load with In-built Heater Grey, https://www.flipkart.com/lg-8-kg-5-star-fully-automatic-front-load-in-built-heater-grey/p/itmbd1980ff6ad09?pid=WMNFT34K9C7FNFA9,LG,42900,51990,17,1248,162,Fully Automatic Front Load,WMNFT34K9C7FNFA9
LG 7 kg 5 Star Fully Automatic Front Load with In-built Heater Grey, https://www.flipkart.com/lg-7-kg-5-star-fully-automatic-front-load-in-built-heater-grey/p/itmc0614c27eeb1b?pid=WMNFT34K3T3SP7HH,LG,37990,45490,16,1248,162,Fully Automatic Front Load,WMNFT34K3T3SP7HH
LG 6 kg Fully Automatic Front Load with In-built Heater White, https://www.flipkart.com/lg-6-kg-fully-automatic-front-load-in-built-heater-white/p/itm5ae278ac8a687?pid=WMNFTW2TDH2QAZRZ,LG,28490,33990,16,24,4,Fully Automatic Front Load,WMNFTW2TDH2QAZRZ
LG 6.2 kg with Smart Inverter Fully Automatic Top Load White, https://www.flipkart.com/lg-6-2-kg-smart-inverter-fully-automatic-top-load-white/p/itm321e7da150a9c?pid=WMNFR3ZNFXSQ9ZKM,LG,16999,18990,10,28,1,Fully Automatic Top Load,WMNFR3ZNFXSQ9ZKM
